Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
House for sale,Chaussee de Nivelles 206,"€ 299,000",3 bedrooms | 117 m² ,3 bedrooms,No,Semi equipped,Just renovated,598 m² ,No
Apartment block for sale,Rue Puits-en-Sock 138,"€ 299,000",6 bedrooms | 183 m² ,6 bedrooms,No,Installed,Good,598 m² ,Yes
House for sale,Grand Rue 38,"€ 299,000",8 bedrooms | 788 m² ,8 bedrooms,No,Semi equipped,To be done up,1873 m² ,No
Mansion for sale,Opgeëistenstraat 56,"€ 299,000",5 bedrooms | 258 m² ,5 bedrooms,No,Installed,As new,1873 m² ,No
Woonproject Zittaart Fase 1 en 2,Koepoortstraat 21,"€ 305,000",3 bedrooms | 140 - 155 m² ,3 bedrooms,No,Installed,As new,1873 m² ,No
House for sale,Rimière 37 A,"€ 310,000",3 bedrooms | 108 m² ,3 bedrooms,No,Installed,To be done up,2730 m² ,No
SINJAN,Jan van Droogenbroeckstraat 55,"€ 315,000",2 - 3 bedrooms | 80 - 170 m² ,2 - 3 bedrooms,No,Installed,To be done up,2730 m² ,No
Woningen Op't Zand,Op 't Zand 40,"€ 320,000",4 bedrooms | 172 m² ,4 bedrooms,No,Installed,To be done up,2730 m² ,No
THIER DES SOTAIS,Rue aux Deux Croix 3,"€ 324,000",4 bedrooms | 170 m² ,4 bedrooms,No,Installed,To be done up,2730 m² ,No
House for sale,Korenbloemweg 25,"€ 325,000",3 bedrooms | 122 m² ,3 bedrooms,No,Semi equipped,Good,130 m² ,No
Hof Berlaere - Woningen,Stationsstraat 33,"€ 325,000",2 - 3 bedrooms | 118 - 156 m² ,2 - 3 bedrooms,No,Semi equipped,Good,130 m² ,No
Basalt - nieuwbouwwoningen,Melkerijstraat,"€ 329,000",3 bedrooms | 176 - 201 m² ,3 bedrooms,No,Semi equipped,Good,130 m² ,No
House for sale,Stenenmolenstraat 42,"€ 330,000",4 bedrooms | 159 m² ,4 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
New real estate project - Houses for sale,Kloosteraprilstraat,"€ 330,500",3 bedrooms | 122 - 149 m² ,3 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
Stellar - Maisons,chaussée de Wavre 109,"€ 330,850",3 bedrooms | 150 - 169 m² ,3 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
Heibloem - BEN woningen te Nijlen,Heibloemstraat 88,"€ 333,000",3 bedrooms | 196 - 207 m² ,3 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
"""Les Maisons de la Ferme",Rue de Géronsart 280,"€ 335,000",2 bedrooms | 166 m² ,2 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
House for sale,Hermes Van Wynghenestraat 49,"€ 335,000",4 bedrooms | 190 m² ,4 bedrooms,No,Hyper equipped,As new,230 m² ,No
Woonproject te Paddenweg Lier - BEN woningen,Paddenweg,"€ 336,000",3 - 4 bedrooms | 162 - 228 m² ,3 - 4 bedrooms,No,Hyper equipped,As new,230 m² ,No
Woonproject Diamant te Herenthout - Woningen,Molenstraat,"€ 339,000",3 bedrooms | 192 - 194 m² ,3 bedrooms,No,Hyper equipped,As new,230 m² ,No
House for sale,Harensesteenweg 189,"€ 340,000",3 bedrooms | 135 m² ,3 bedrooms,No,Hyper equipped,Good,95 m² ,No
House for sale,Rue Jean Severijns 10,"€ 345,000",4 bedrooms | 128 m² ,4 bedrooms,No,Installed,As new,800 m² ,No
Parkview - Woningen,Astridlaan 192-194,"€ 346,000",3 bedrooms | 136 - 137 m² ,3 bedrooms,No,Installed,As new,800 m² ,No
Woningen Lijsterweg,Lijsterweg 3,"€ 347,000",3 bedrooms | 173 - 198 m² ,3 bedrooms,No,Installed,As new,800 m² ,No
Bungalow for sale,Rue Jean Schinler 12,"€ 349,000",3 bedrooms | 180 m² ,3 bedrooms,No,Semi equipped,As new,850 m² ,No
House for sale,Chemin de Botister 4,"€ 349,000",4 bedrooms | 190 m² ,4 bedrooms,No,Installed,Good,440 m² ,No
House for sale,Rue Guillaume de Bleret 2,"€ 350,000",5 bedrooms | 195 m² ,5 bedrooms,No,Installed,As new,903 m² ,No
House for sale,Rue de l'Instruction 139,"€ 365,000",3 bedrooms | 190 m² ,3 bedrooms,No,USA hyper equipped,Good,903 m² ,No
Residentie Zuidkwartier - Woningen,Ivo Cornelisstraat,"€ 368,000",3 bedrooms | 155 m² ,3 bedrooms,No,USA hyper equipped,Good,903 m² ,No
